Lemma,Stem,Paradigm,Class,Translation,Source
Nigigoonsiminikaaning,Nigigoonsiminikaaning,NamePlace,NamePlace,Red Gut First Nation,CMH-May2024
Ogimaawigwanebiik,Ogimaawigwanebiik,NamePerson,NamePerson,Nancy Jones,CMH-May2024
Gabekanaansing,Gabekanaansing,NamePlace,NamePlace,Portage Lake,PL-Pg235
Dabasaanakwadook,Dabasaanakwadook,NamePerson,NamePerson,NONE,NJ-OPD-Sentences
Anangookwe,Anangookwe,NamePerson,NamePerson,NONE,GH-OPD-Sentences
Gaa-waabaabiganikaang,Gaa-waabaabiganikaang,NamePlace,NamePlace,NONE,CMH-March2026
Gakaabikaaning,Gakaabikaaning,NamePlace,NamePlace,Minneapolis,OPD-Sentences
Gezhibaayaaniwanook,Gezhibaayaaniwanook,NamePerson,NamePerson,NONE,OPD-Sentences
Manoomini-ziibiing,Manoomini-ziibiing,NamePlace,NamePlace,Rice River,OPD-Sentences
Miskwaagamii-zaaga'iganing,Miskwaagamii-zaaga'iganing,NamePlace,NamePlace,Red Lake,OPD-Sentences
Njim,Njim,NamePerson,NamePerson,Jim,OPD-Sentences
Timii,Timii,NamePlace,NamePlace,Tim Horton's,OPD-Sentences
Bagandiz,Bagandiz,NamePerson,NamePerson,Bagandiz,OPD-Sentences
niij,niij,NameVocative,NameVocative,my friend; bro,OPD-Sentences
niijii,niijiiw2,NameVocative,NameVocative,my friend; bro (vocative),OPD-Sentences
noozis,noozis,NameVocative,NameVocative,grandchild (vocative),OPD-Sentences
nookoo,nookoo,NameVocative,NameVocative,gram (as in grandma),OPD-Sentences
Wenabozho,Wenabozhow2,NamePerson,NamePerson_Vw,Wenabozho,OPD-Sentences
Nenabozho,Nenabozhow2,NamePerson,NamePerson_Vw,Nenabozho,OPD-Sentences
