Lemma,Stem,Paradigm,Class,Translation,Source
aabitawi,aabitawiw2,PNLex,PNLex,NONE,UnpublishedOPD
aabita,aabitaw2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/aabita-pv-qnt
aagawi,aagawiw2,PNLex,PNLex,NONE,UnpublishedOPD
aanike,aanike,PNLex,PNLex,NONE,UnpublishedOPD
aaniko,aanikow2,PNLex,PNLex,NONE,UnpublishedOPD
aanji,aanjiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/aanji-pv-lex
agiji,agijiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/agiji-pv-lex
agwaa,agwaa,PNLex,PNLex,NONE,UnpublishedOPD
agaami,agaamiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/agaami-pv-lex
ando,nandow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ando-pv-lex
ando,andow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ando-pv-lex
anaami,anaamiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/anaami-pv-lex
anama'e,anama'e,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/anama-e-pv-lex
aabiji,aabijiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/aabiji-pv-lex
aako,aakow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/aako-pv-lex
ashi-ingodwaaso,ashi-ingodwaasow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-ingodwaaso-pv-qnt
asabi,asabiw2,PNLex,PNLex,NONE,UnpublishedOPD
ashi-ishwaaso,ashi-ishwaasow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-ishwaaso-pv-qnt
ashi-naano,ashi-naanow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-naano-pv-qnt
ashi-ngodwaaso,ashi-ngodwaasow2,PNQnt,PNQnt,NONE,UnpublishedOPD
ashi-niiwo,ashi-niiwow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-niiwo-pv-qnt
ashi-niiyo,ashi-niiyow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-niiyo-pv-qnt
ashi-niizho,ashi-niizhow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-niizho-pv-qnt
ashki,ashkiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ashki-pv-lex
ashi-niizhwaaso,ashi-niizhwaasow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-niizhwaaso-pv-qnt
