Lemma,Stem,Paradigm,Class,Translation,Source
waasiko,waasikow2,PVLex,PVLex,"shiny",https://ojibwe.lib.umn.edu/main-entry/waasiko-pv-lex
waasamoo,waasamoo,PVLex,PVLex,"powered; electric",https://ojibwe.lib.umn.edu/main-entry/waasamoo-pv-lex
waanda,waandaw2,PVLex,PVLex,"really; completely; just so",https://ojibwe.lib.umn.edu/main-entry/waanda-pv-lex
maji,majiw2,PVLex,PVLex,"bad",https://ojibwe.lib.umn.edu/main-entry/maji-pv-lex
zazegaa,zazegaa,PVLex,PVLex,"fine; elegant; good-looking",https://ojibwe.lib.umn.edu/main-entry/zazegaa-pv-lex
waabi,waabiw2,PVLex,PVLex,"grey, (off)white",https://ojibwe.lib.umn.edu/main-entry/waabi-pv-lex
onzaami,onzaamiw2,PVLex,PVLex,"too; too much; excessively; extremely",https://ojibwe.lib.umn.edu/main-entry/onzaami-pv-lex
jiigi,jiigiw2,PVLex,PVLex,"near, nearby, close; by",https://ojibwe.lib.umn.edu/main-entry/jiigi-pv-lex
naano,naanow2,PVQnt,PVQnt,"five",https://ojibwe.lib.umn.edu/main-entry/naano-pv-qnt
oke,oke,PVLex,PVLex,"easily, weak",https://ojibwe.lib.umn.edu/main-entry/oke-pv-lex
nenishwaaswi,nenishwaaswiw2,PVQnt,PVQnt,"eight each",https://ojibwe.lib.umn.edu/main-entry/nenishwaaswi-adv-num
ogiji,ogijiw2,PVLex,PVLex,"on top, on top of",https://ojibwe.lib.umn.edu/main-entry/ogiji-pv-lex
biitoo,biitoo,PVLex,PVLex,"as a layer",https://ojibwe.lib.umn.edu/main-entry/biitoo-pv-lex
ningo,ningow2,PVQnt,PVQnt,"one",https://ojibwe.lib.umn.edu/main-entry/ningo-pv-qnt
bibine,bibine,PVLex,PVLex,"powdered, finely granulated",https://ojibwe.lib.umn.edu/main-entry/bibine-pv-lex
ando,nandow2,PVLex,PVLex,"go over to a place",https://ojibwe.lib.umn.edu/main-entry/ando-pv-lex
ando,andow2,PVLex,PVLex,"go over to a place",https://ojibwe.lib.umn.edu/main-entry/ando-pv-lex
gwiinawi,gwiinawiw2,PVLex,PVLex,"not knowing; not able",https://ojibwe.lib.umn.edu/main-entry/gwiinawi-pv-lex
ashki,ashkiw2,PVLex,PVLex,"raw",https://ojibwe.lib.umn.edu/main-entry/ashki-pv-lex
megwaa,megwaa,PVLex,PVLex,"while; during; right now",https://ojibwe.lib.umn.edu/main-entry/megwaa-pv-lex
madwe,madwe,PVLex,PVLex,"audible; making noise; being heard; visible",https://ojibwe.lib.umn.edu/main-entry/madwe-pv-lex
ozhaawashko,ozhaawashkow2,PVLex,PVLex,"blue, green",https://ojibwe.lib.umn.edu/main-entry/ozhaawashko-pv-lex
