Lemma,Stem,Paradigm,Class,Translation,Source
bimibidewi-giishkiboojigan,bimibidewi-giishkiboojigan,NI,NI_C,"a power saw, a chain saw",https://ojibwe.lib.umn.edu/main-entry/bimibidewi-giishkiboojigan-ni
waasigani-gizhaabikiziganens,waasigani-gizhaabikiziganens,NI,NI_C,"a coleman stove",https://ojibwe.lib.umn.edu/main-entry/waasigani-gizhaabikiziganens-ni
waasigani-biiwaabik,waasigani-biiwaabikw2,NI,NI_Cw,"an electric cable",https://ojibwe.lib.umn.edu/main-entry/waasigani-biiwaabik-ni
waasigani-bimideyaab,waasigani-bimideyaab,NI,NI_C,"gas line",https://ojibwe.lib.umn.edu/main-entry/waasigani-bimideyaab-ni
aazhogan,aazhogan,NI,NI_C,"a bridge",https://ojibwe.lib.umn.edu/main-entry/aazhogan-ni
babaamaajimoo-mazina'igan,babaamaajimoo-mazina'igan,NI,NI_C,"a newspaper",https://ojibwe.lib.umn.edu/main-entry/babaamaajimoo-mazina-igan-ni
bimidaakobijigan,bimidaakobijigan,NI,NI_C,"a crosspiece",https://ojibwe.lib.umn.edu/main-entry/bimidaakobijigan-ni
waasigani-waazakonenjigan,waasigani-waazakonenjigan,NI,NI_C,"an electric light",https://ojibwe.lib.umn.edu/main-entry/waasigani-waazakonenjigan-ni
waanikaan,waanikaan,NI,NI_C,"a pit, an excavated hole",https://ojibwe.lib.umn.edu/main-entry/waanikaan-ni
bimaaji'iwewin,bimaaji'iwewin,NI,NI_C,"salvation",https://ojibwe.lib.umn.edu/main-entry/bimaaji-iwewin-ni
aazhideyaatig,aazhideyaatigw2,NA,NA_Cw,"a cross",https://ojibwe.lib.umn.edu/main-entry/aazhideyaatig-na
bimaatigwewi-naabikwaan,bimaatigwewi-naabikwaan,NI,NI_C,"a tugboat used for moving log booms",https://ojibwe.lib.umn.edu/main-entry/bimaatigwewi-jiimaan-ni
waasamowin,waasamowin,NI,NI_C,"lightning; electricity",https://ojibwe.lib.umn.edu/main-entry/waasamowin-ni
waasechigani-asabaabik,waasechigani-asabaabikw2,NI,NI_Cw,"window screen",https://ojibwe.lib.umn.edu/main-entry/waasechigani-asabaabik-ni
waawaashkeshi,waawaashkeshiw2,NA,NA_Vw,"a deer",https://ojibwe.lib.umn.edu/main-entry/waawaashkeshi-na
waapijiibizoneyaab,waapijiibizoneyaaby,NI,NI_C,"cradleboard wrapper lacing; bunting bag lacing",https://ojibwe.lib.umn.edu/main-entry/waapijiibizoneyaab-ni
waasamoo-jiimaanens,waasamoo-jiimaanens,NI,NI_C,"motorboat",https://ojibwe.lib.umn.edu/main-entry/waasamoo-jiimaanens-ni
waasiingwaagan,waasiingwaagan,NA,NA_C,"a costume mask",https://ojibwe.lib.umn.edu/main-entry/waasiingwaagan-ni
waasamoo-anokiiwinini,waasamoo-anokiiwininiw2,NA,NA_Vw,"electrician",https://ojibwe.lib.umn.edu/main-entry/waasamoo-anokiiwinini-na
waapijiibizon,waapijiibizon,NI,NI_C,"a cradleboard bag; a bunting bag",https://ojibwe.lib.umn.edu/main-entry/waapijiibizon-ni
babagiwayaanegamigwegin,babagiwayaanegamigweginw2,NI,NI_Cw,"(a piece of) canvas",https://ojibwe.lib.umn.edu/main-entry/babagiwayaanegamigwegin-ni
waawaabiganoojiinh,waawaabiganoojiinhy1,NA,NA_VVny,"a mouse",https://ojibwe.lib.umn.edu/main-entry/waawaabiganoojiinh-na
babagiwayaanekizin,babagiwayaanekizin,NI,NI_C,"a tennis shoe, a canvas shoe",https://ojibwe.lib.umn.edu/main-entry/babagiwayaanekizin-ni
babaamaashiiwinini,babaamaashiiwininiw2,NA,NA_Vw,"a sailor",https://ojibwe.lib.umn.edu/main-entry/babaamaashiiwinini-na
waasamoo-jiimaan,waasamoo-jiimaan,NI,NI_C,"a motor launch",https://ojibwe.lib.umn.edu/main-entry/waasamoo-jiimaan-ni
waasechigan,waasechigan,NI,NI_C,"a window, glass (in or for a window)",https://ojibwe.lib.umn.edu/main-entry/waasechigan-ni
babaamaadizii-makak,babaamaadizii-makakw2,NI,NI_Cw,"a suitcase",https://ojibwe.lib.umn.edu/main-entry/babaamaadizii-makak-ni
waasamoo-bimide,waasamoo-bimidew2,NI,NI_VV,"gas, gasoline",https://ojibwe.lib.umn.edu/main-entry/waasamoo-bimide-ni
waaswaagan,waaswaagan,NI,NI_C,"a torch; a spotlight",https://ojibwe.lib.umn.edu/main-entry/waaswaagan-ni
waasamoo-waazakonenjigan,waasamoo-waazakonenjigan,NI,NI_C,"an electric lamp",https://ojibwe.lib.umn.edu/main-entry/waasamoo-waazakonenjigan-ni
bimidasaa,bimidasaaw2,NA,NA_VV,"a thwart",https://ojibwe.lib.umn.edu/main-entry/bimidasaa-na
waawanogegan,waawanogegan,NI,NI_C,"an eggshell",https://ojibwe.lib.umn.edu/main-entry/waawanogegan-ni
waapijiibizoniigin,waapijiibizoniiginw2,NI,NI_Cw,"cloth for a bunting bag",https://ojibwe.lib.umn.edu/main-entry/waapijiibizoniigin-ni
waatebagaa-giizis,waatebagaa-giizisw2,NA,NA_Cw,"October; September",https://ojibwe.lib.umn.edu/main-entry/waatebagaa-giizis-na
waasigani-bimide,waasigani-bimidew2,NI,NI_VV,"gas, gasoline",https://ojibwe.lib.umn.edu/main-entry/waasigani-bimide-ni
bimaawazhiwewinini,bimaawazhiwewininiw2,NA,NA_Vw,"a taxi driver; a cab driver",https://ojibwe.lib.umn.edu/main-entry/bimaawazhiwewinini-na
waasamoobii'igan,waasamoobii'igan,NI,NI_C,"an e-mail",https://ojibwe.lib.umn.edu/main-entry/waasamoobii-igan-ni
waakoonsiwi-bakwezhigan,waakoonsiwi-bakwezhigan,NA,NA_C,"fish-egg bread",https://ojibwe.lib.umn.edu/main-entry/waakoonsiwi-bakwezhigan-na
aazhide-waagosh,aazhide-waagosh,NA,NA_C,"a cross fox",https://ojibwe.lib.umn.edu/main-entry/aazhide-waagosh-na
aazhooningwa'on,aazhooningwa'on,NI,NI_C,"a bandolier bag",https://ojibwe.lib.umn.edu/main-entry/aazhooningwa-on-ni
waasiganidaabaanikana,waasiganidaabaanikanaw,NI,NI_Kana,"a road (for vehicles)",https://ojibwe.lib.umn.edu/main-entry/waasiganidaabaanikana-ni
waakoons,waakoons,NA,NA_C,"a fish egg, roe",https://ojibwe.lib.umn.edu/main-entry/waakoons-na
