Lemma,Stem,Paradigm,Class,Translation,Source
aabitooshkin,aabitooshkin,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/aabitooshkin-adv-num
aabita,aabitaw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/aabita-adv-num
aabita-dibaabiishkoojigan,aabita-dibaabiishkoojigan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/aabita-dibaabiishkoojigan-adv-num
aabita-mininj,aabita-mininj,NUM,NUM,NONE,UnpublishedOPD
aabita-diba'igan,aabita-diba'igan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/aabita-diba-igan-adv-num
ashi-bezhigwaatig,ashi-bezhigwaatig,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigwemikwaanens,ashi-bezhigwemikwaanens,NUM,NUM,NONE,UnpublishedOPD
ashi-ishwaaso-biboon,ashi-ishwaaso-biboon,NUM,NUM,NONE,UnpublishedOPD
ashi-ishwaaso-diba'igan,ashi-ishwaaso-diba'igan,NUM,NUM,NONE,UnpublishedOPD
ashi-ishwaasoninj,ashi-ishwaasoninj,NUM,NUM,NONE,UnpublishedOPD
ashi-ishwaasozid,ashi-ishwaasozid,NUM,NUM,NONE,UnpublishedOPD
ashi-ishwaaswaabik,ashi-ishwaaswaabik,NUM,NUM,NONE,UnpublishedOPD
ashi-naano-biboon,ashi-naano-biboon,NUM,NUM,NONE,UnpublishedOPD
ashi-naano-diba'igan,ashi-naano-diba'igan,NUM,NUM,NONE,UnpublishedOPD
ashi-naanoninj,ashi-naanoninj,NUM,NUM,NONE,UnpublishedOPD
ashi-naanozid,ashi-naanozid,NUM,NUM,NONE,UnpublishedOPD
ashi-naanwaabik,ashi-naanwaabik,NUM,NUM,NONE,UnpublishedOPD
ashi-ngodwaaswi,ashi-ngodwaaswiw2,NUM,NUM,NONE,UnpublishedOPD
ashi-niizho-diba'igan,ashi-niizho-diba'igan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-niizho-diba-igan-adv-num
ashi-aabita,ashi-aabitaw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-aabita-adv-num
ashi-bezhigo-anama'e-giizhik,ashi-bezhigo-anama'e-giizhik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-bezhigo-anama-e-giizhik-adv-num
ashi-ningodwaaso-biboon,ashi-ningodwaaso-biboon,NUM,NUM,NONE,UnpublishedOPD
ashi-ningodwaaso-diba'igan,ashi-ningodwaaso-diba'igan,NUM,NUM,NONE,UnpublishedOPD
ashi-ningodwaaso-mizid,ashi-ningodwaaso-mizid,NUM,NUM,NONE,UnpublishedOPD
ashi-ningodwaasoninj,ashi-ningodwaasoninj,NUM,NUM,NONE,UnpublishedOPD
ashi-ningodwaasozid,ashi-ningodwaasozid,NUM,NUM,NONE,UnpublishedOPD
ashi-ningodwaaswaabik,ashi-ningodwaaswaabik,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigo-diba'iganens,ashi-bezhigo-diba'iganens,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigo-diba'oobaan,ashi-bezhigo-diba'oobaan,NUM,NUM,NONE,UnpublishedOPD
ashi-niso-biboon,ashi-niso-biboon,NUM,NUM,NONE,UnpublishedOPD
ashi-niso-diba'igan,ashi-niso-diba'igan,NUM,NUM,NONE,UnpublishedOPD
ashi-nisoninj,ashi-nisoninj,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigo-giizhik,ashi-bezhigo-giizhik,NUM,NUM,NONE,UnpublishedOPD
ashi-nisozid,ashi-nisozid,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigo-giizis,ashi-bezhigo-giizis,NUM,NUM,NONE,UnpublishedOPD
ashi-niswaabik,ashi-niswaabik,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigo-gikinoonowin,ashi-bezhigo-gikinoonowin,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigo-makak,ashi-bezhigo-makak,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigo-michichin,ashi-bezhigo-michichin,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigo-mizid,ashi-bezhigo-mizid,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigogon,ashi-bezhigogon,NUM,NUM,NONE,UnpublishedOPD
ashi-zhaangaswi,ashi-zhaangaswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ashi-zhaangaswi-adv-num
ashi-bezhigonaaganens,ashi-bezhigonaaganens,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigoninj,ashi-bezhigoninj,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigookik,ashi-bezhigookik,NUM,NUM,NONE,UnpublishedOPD
ashi-bezhigookikoons,ashi-bezhigookikoons,NUM,NUM,NONE,UnpublishedOPD
