Lemma,Stem,Paradigm,Class,Translation,Source
gaawiin ingodinoo,gaawiin ingodinoo,PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/gaawiin-ingodinoo-pc-disc
woo-oo,woo-oo,PCInterj,PCInterj,NONE,https://ojibwe.lib.umn.edu/main-entry/woo-oo-pc-interj
way,way,PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/way-pc-disc
ambe,ambe,PCInterj,PCInterj,NONE,https://ojibwe.lib.umn.edu/main-entry/ambe-pc-interj
nashke giniin,nashke giniin,PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/nashke-giniin-pc-disc
isa,isaw2,PCEmph,PCEmph,NONE,https://ojibwe.lib.umn.edu/main-entry/isa-pc-emph
aatayaa,aatayaa,PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/aatayaa-pc-disc
waa,waa,PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/waa-pc-disc
gaawesaa,gaawesaa,PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/gaawesa-pc-disc
ashke,ashke,PCInterj,PCInterj,NONE,https://ojibwe.lib.umn.edu/main-entry/ashke-pc-interj
enyanh',enyanh',PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/enyan-pc-disc
naasanaa,naasanaa,PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/naasanaa-pc-disc
en',en',PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/en-pc-disc
gosha,goshaw2,PCEmph,PCEmph,NONE,https://ojibwe.lib.umn.edu/main-entry/gosha-pc-emph
ina,inaw2,PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/ina-pc-disc
giiwenh,giiwenh,PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/giiwenh-pc-disc
maamakaadakamig,maamakaadakamig,PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/maamakaadakamig-pc-disc
miigwech,miigwech,PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/miigwech-pc-disc
ambesanoo,ambesanoo,PCInterj,PCInterj,NONE,https://ojibwe.lib.umn.edu/main-entry/ambesanoo-pc-interj
oo,oo,PCDisc,PCDisc,NONE,https://ojibwe.lib.umn.edu/main-entry/oo-pc-disc
