Lemma,Stem,Paradigm,Class,Translation,Source
gaye giin,gaye giin,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/gaye-giin-pron-per
wiinetawaa,wiinetawaa,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/wiinetawaa-pron-per
onowedin,onowedin,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/onowedin-pron-dem
o'o,o'ow2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/o-o-pron-dem
ogowe,ogowe,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/ogowe-pron-dem
akina awiya,akina awiyaw2,PRONIndf,PRONIndf,NONE,https://ojibwe.lib.umn.edu/main-entry/akina-awiya-pron-indf
giinitamawind,giinitamawind,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/giinitamawind-pron-per
niinetawind,niinetawind,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/niinetawind-pron-per
wiin,wiin,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/wiin-pron-per
igiwedig,igiwedig,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/igiwedig-pron-dem
'ow,'ow,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/ow-pron-dem
onow,onow,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/onow-pron-dem-c275e8c9-a0d9-4230-a9ef-520f030dda0f
iniwe,iniwe,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwe-pron-dem-6c0f3f39-d530-488f-ab8d-ec48c5ca73a4
geniinawind,geniinawind,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/geniinawind-pron-per
'o,'ow2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/o-pron-dem-9644a223-2d9c-45a9-8a06-6178f7683bdf
onowedi,onowediw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/onowedi-pron-dem
awenesh,awenesh,PRONInter,PRONInter,NONE,https://ojibwe.lib.umn.edu/main-entry/awenesh-pron-inter
gaye wiinawaa,gaye wiinawaa,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/gaye-wiinawaa-pron-per
iniwedi,iniwediw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwedi-pron-dem
gegiinawind,gegiinawind,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/gegiinawind-pron-per
onowe,onowe,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/onowe-pron-dem-63afa5d9-2e34-4d4a-8fab-9be713da6d66
'aw,'aw,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/aw-pron-dem-ffb511e9-b402-4a24-a8c2-d7c7d114edd0
i'iwedi,i'iwediw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/i-iwedi-pron-dem
'a,'aw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/a-pron-dem
akina gegoo,akina gegoo,PRONIndf,PRONIndf,NONE,https://ojibwe.lib.umn.edu/main-entry/akina-gegoo-pron-indf
awegodogwen,awegodogwen,PRONDub,PRONDub,NONE,https://ojibwe.lib.umn.edu/main-entry/awegodogwen-pron-dub
aweniban,aweniban,PRONPret,PRONPret,NONE,https://ojibwe.lib.umn.edu/main-entry/aweniban-pron-pret
a'awe,a'awe,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/a-awe-pron-dem
aw,aw,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/aw-pron-dem
giinetawind,giinetawind,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/giinetawind-pron-per
awiya,awiyaw2,PRONIndf,PRONIndf,NONE,https://ojibwe.lib.umn.edu/main-entry/awiya-pron-indf
wegodogwen,wegodogwen,PRONDub,PRONDub,NONE,https://ojibwe.lib.umn.edu/main-entry/wegodogwen-pron-dub
wa'awedi,wa'awediw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/wa-awedi-pron-dem
gegiinawaa,gegiinawaa,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/gegiinawaa-pron-per
giinetawaa,giinetawaa,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/giinetawaa-pron-per
niinawind,niinawind,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/niinawind-pron-per
dino,dinow2,PRONSim,PRONSim,NONE,https://ojibwe.lib.umn.edu/main-entry/dino-pron-sim
giinitamawaa,giinitamawaa,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/giinitamawaa-pron-per
yo'ow,yo'ow,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/yo-ow-pron-dem
agiw,agiw,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/agiw-pron-dem
gewiin,gewiin,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/gewiin-pron-per
o'owedi,o'owediw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/o-owedi-pron-dem
niin,niin,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/niin-pron-per
gaye niinawind,gaye niinawind,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/gaye-niinawind-pron-per
wegonesh,wegonesh,PRONInter,PRONInter,NONE,https://ojibwe.lib.umn.edu/main-entry/wegonesh-pron-inter
iniwen,iniwen,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwen-pron-dem-cdd9e904-2cde-42f8-a3e6-3697b935fc06
ongow,ongow,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/ongow-pron-dem
wiineta,wiinetaw2,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/wiineta-pron-per
igiwe,igiwe,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/igiwe-pron-dem
ya'aw,ya'aw,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/ya-aw-pron-dem
ono,onow2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/ono-pron-dem
miiwa',miiwa',PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/miiwa-pron-dem
giinawaa,giinawaa,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/giinawaa-pron-per
o'owe,o'owe,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/o-owe-pron-dem
gaye niin,gaye niin,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/gaye-niin-pron-per
ogowedi,ogowediw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/ogowedi-pron-dem
ingiw,ingiw,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/ingiw-pron-dem
aya'aa,aya'aa,PRONPsl,PRONPsl,NONE,https://ojibwe.lib.umn.edu/main-entry/aya-aa-pron-psl
a'a,a'aw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/a-a-pron-dem
niineta,niinetaw2,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/niineta-pron-per
niinitamawind,niinitamawind,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/niinitamawind-pron-per
a'awedi,a'awediw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/a-awedi-pron-dem
gakina awiya,gakina awiyaw2,PRONIndf,PRONIndf,NONE,https://ojibwe.lib.umn.edu/main-entry/gakina-awiya-pron-indf
miiwan,miiwan,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/miiwan-pron-dem-78c61f89-6a8d-41cf-bd4b-df55a000fca6
i'iw,i'iw,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/i-iw-pron-dem
gaye giinawind,gaye giinawind,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/gaye-giinawind-pron-per
dinowa,dinowaw2,PRONSim,PRONSim,NONE,https://ojibwe.lib.umn.edu/main-entry/dinowa-pron-sim-ea642a34-0083-4c00-ab94-3c35a8e9ae27
ayi'ii,ayi'ii,PRONPsl,PRONPsl,NONE,https://ojibwe.lib.umn.edu/main-entry/ayi-ii-pron-psl
iniwedin,iniwedin,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwedin-pron-dem
wegodogwen igo,wegodogwen igow2,PRONDub,PRONDub,NONE,https://ojibwe.lib.umn.edu/main-entry/wegodogwen-igo-pron-dub
a'aw,a'aw,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/a-aw-pron-dem
aniw,aniw,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/aniw-pron-dem
owe,owe,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/owe-pron-dem
'owe,'owe,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/owe-pron-dem-2e8262fa-0922-4b6a-9b77-b45efa426cc8
niinitam,niinitam,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/niinitam-pron-per
gakina gegoo,gakina gegoo,PRONIndf,PRONIndf,NONE,https://ojibwe.lib.umn.edu/main-entry/gakina-gegoo-pron-indf
