Lemma,Stem,Paradigm,Class,Translation,Source
Waashtanong,Waashtanong,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/waashtanong-name-place
Baaga'adowaaning,Baaga'adowaaning,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/baaga-adowaaning-name-place
Chi-badaka'iganing,Chi-badaka'iganing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/chi-badaka-iganing-name-place
Okikaandagoonsing,Okikaandagoonsing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/okikaandagoonsing-name-place
Obashkiigaang,Obashkiigaang,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/obashkiigaang-name-place
Gaa-waawiyegamaag,Gaa-waawiyegamaag,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/gaa-waawiyegamaag-name-place
Gakaabikaang,Gakaabikaang,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/gakaabikaang-name-place
Waawaashkeshiwi-ziibiing,Waawaashkeshiwi-ziibiing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/waawaashkeshiwi-ziibiing-name-place
Gaa-zagaskwaajimekaag,Gaa-zagaskwaajimekaag,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/gaa-zagaskwaajimekaag-name-place
Miskwaagamiiwi-zaaga'igan,Miskwaagamiiwi-zaaga'igan,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/miskwaagamiiwi-zaaga-igan-name-place-8b8a179c-9bfe-4024-b0f8-cdf36550a8d8
Wiikwegamaang,Wiikwegamaang,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/wiikwegamaang-name-place
Gaa-miskwaawaakokaag,Gaa-miskwaawaakokaag,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/gaa-miskwaawaakokaag-name-place
Ogaakaaning,Ogaakaaning,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/ogaakaaning-name-place
Agwadaashiwi-ziibiing,Agwadaashiwi-ziibiing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/agwadaashiwi-ziibiing-name-place
Bemijigamaag,Bemijigamaag,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/bemijigamaag-name-place
Gwaaba'iganing,Gwaaba'iganing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/gwaaba-iganing-name-place
Jaachaabaaning,Jaachaabaaning,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/jaachaabaaning-name-place
Misi-zaaga'iganing,Misi-zaaga'iganing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/misi-zaaga-iganing-name-place
Biiwaabikokaaning,Biiwaabikokaaning,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/biiwaabikokaaning-name-place
Gaa-waabaabiganikaag,Gaa-waabaabiganikaag,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/gaa-waabaabiganikaag-name-place
Gaa-ginwaajiwanaag,Gaa-ginwaajiwanaag,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/gaa-ginwaajiwanaag-name-place
Mazhii'iganing,Mazhii'iganing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/mazhii-iganing-name-place
Nagaajiwanaang,Nagaajiwanaang,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/nagaajiwanaang-name-place
Onigamiinsing,Onigamiinsing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/onigamiinsing-name-place
Ashkibagi-ziibiing,Ashkibagi-ziibiing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/ashkibagi-ziibiing-name-place
Animikii-wiikwedong,Animikii-wiikwedw,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/animikii-wiikwedong-name-place
Gichi-onigamiing,Gichi-onigamiing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/gichi-onigamiing-name-place
Asabiikone-zaaga'iganiing,Asabiikone-zaaga'iganiing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/asabikone-zaaga-iganiing-name-place
Oshki-adaawewigamigong,Oshki-adaawewigamigong,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/oshki-adaawewgamigong-name-place
Misi-zaaga'iganiing,Misi-zaaga'iganiing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/misi-zaaga-iganiing-name-place
Gibaakwa'igaansing,Gibaakwa'igaansing,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/gibaakwa-igaansing-name-place
Madaabiimog,Madaabiimog,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/madaabiimog-name-place
Gojijiiwi-zaaga'igan,Gojijiiwi-zaaga'igan,NamePlace,NamePlace,NONE,https://ojibwe.lib.umn.edu/main-entry/gojijiiwi-zaaga-igan-name-place
