Lemma,Stem,Paradigm,Class,Translation,Source
aazhoogaadebi,aazhoogaadebi,VAI,VAI_V,"s/he sits with legs crossed",https://ojibwe.lib.umn.edu/main-entry/aazhoogaadebi-vai
aayaazhoogaadebi,aayaazhoogaadebi,VAI,VAI_V,"s/he sits with legs crossed",https://ojibwe.lib.umn.edu/main-entry/aazhoogaadebi-vai
aazhooshkaa,aazhooshkaa,VAI,VAI_VV,"s/he goes across, crosses",https://ojibwe.lib.umn.edu/main-entry/aazhooshkaa-vai
aadasookaade,aadasookaade,VII,VII_VV,"",https://ojibwe.lib.umn.edu/main-entry/aadasookaade-vii
bimaagonebizo,bimaagonebizo,VAI,VAI_V,"s/he drives by, along in the snow",https://ojibwe.lib.umn.edu/main-entry/bimaagonebizo-vai
waanzhibiiyaa,waanzhibiiyaa,VII,VII_VV,"it is a puddle, a water-filled pothole, a small pond",https://ojibwe.lib.umn.edu/main-entry/waanzhibiiyaa-vii
waanisagizi,waanisagizi,VAI,VAI_V,"it (animate; board) has a depression in it",https://ojibwe.lib.umn.edu/main-entry/waanisagizi-vai
babaamaaboode,babaamaaboode,VII,VII_VV,"it drifts about on the current",https://ojibwe.lib.umn.edu/main-entry/babaamaaboode-vii
waaseyaanakwad,waaseyaanakwad,VII,VII_d,"clouds can be seen through",https://ojibwe.lib.umn.edu/main-entry/waaseyaanakwad-vii
aazhigidikweni,aazhigidikweni,VAI,VAI_V,"s/he tilts h/ head back",https://ojibwe.lib.umn.edu/main-entry/aazhigidikweni-vai
babanaadenimo,babanaadenimo,VAI,VAI_V,"s/he thinks h/self hopeless, has no faith in h/ self",https://ojibwe.lib.umn.edu/main-entry/babanaadenimo-vai
bimaagiwebishkige,bimaagiwebishkige,VAI,VAI_VV,"s/he bicycles along, rides along on a bicycle",https://ojibwe.lib.umn.edu/main-entry/bimaagiwebishkige-vai
bimaanakwad,bimaanakwad,VII,VII_d,"clouds go along",https://ojibwe.lib.umn.edu/main-entry/bimaanakwad-vii
waasaashkaa,waasaashkaa,VII,VII_VV,"it (lake) has whitecaps",https://ojibwe.lib.umn.edu/main-entry/waasaashkaa-vii
waasaabikizo,waasaabikizo,VAI,VAI_V,"it (animate; mineral) shines, glitters, reflects light",https://ojibwe.lib.umn.edu/main-entry/waasaabikizo-vai
bimaakwisin,bimaakwisin,VII,VII_n,"",https://ojibwe.lib.umn.edu/main-entry/bimaakwisin-vii
bimi-ayaa,bimi-ayaa,VAI,VAI_VV,"s/he goes, travels along",https://ojibwe.lib.umn.edu/main-entry/bimi-ayaa-vai
waaswaagen,waaswaage,VAIO,VAIO,"use (it) as a torch or spotlight",https://ojibwe.lib.umn.edu/main-entry/waaswaagen-vai-o
waasikwa'ige,waasikwa'ige,VAI,VAI_VV,"s/he polishes, shines things",https://ojibwe.lib.umn.edu/main-entry/waasikwa-ige-vai
babaamaakwii,babaamaakwii,VAI,VAI_VV,"s/he goes about in the woods",https://ojibwe.lib.umn.edu/main-entry/babaamaakwii-vai
babaagigaade,babaagigaade,VAI,VAI_VV,"s/he has swollen legs",https://ojibwe.lib.umn.edu/main-entry/babaagigaade-vai
aazhawise,aazhawise,VII,VII_VV,"it flies across",https://ojibwe.lib.umn.edu/main-entry/aazhawise-vii
bimaakosin,bimaakosin,VII,VII_n,"it lies along (as something stick- or wood-like)",https://ojibwe.lib.umn.edu/main-entry/bimaakosin-vii
bimaawazhiwe,bimaawazhiwe,VAI,VAI_VV,"s/he hauls (people) along; transports people",https://ojibwe.lib.umn.edu/main-entry/bimaawazhiwe-vai
aazhogebide,aazhogebide,VII,VII_VV,"it drives across a bridge",https://ojibwe.lib.umn.edu/main-entry/aazhigebide-vii
waasikwa'igaade,waasikwa'igaade,VII,VII_VV,"it is polished, shined (by someone), 'they' polish, shine it",https://ojibwe.lib.umn.edu/main-entry/waasikwa-igaade-vii
bimiba'iwe,bimiba'iwe,VAI,VAI_VV,"s/he runs along in flight from someone",https://ojibwe.lib.umn.edu/main-entry/bimiba-iwe-vai
waasikwa'igaazo,waasikwa'igaazo,VAI,VAI_V,"it (animate) is polished, shined (by someone), 'they' polish it (animate)",https://ojibwe.lib.umn.edu/main-entry/waasikwa-igaazo-vai
aazhigijise,aazhigijise,VII,VII_VV,"it turns face up, falls face up",https://ojibwe.lib.umn.edu/main-entry/aazhigijise-vii
aayaazhigijise,aayaazhigijise,VII,VII_VV,"it turns face up, falls face up",https://ojibwe.lib.umn.edu/main-entry/aazhigijise-vii
bimaanimizi,bimaanimizi,VAI,VAI_V,"s/he goes along in fear",https://ojibwe.lib.umn.edu/main-entry/bimaanimizi-vai
waasikozi,waasikozi,VAI,VAI_V,"s/he, it (animate) is shiny",https://ojibwe.lib.umn.edu/main-entry/waasikozi-vai
babaama'azh,babaama'an1,VTA,VTA_n,"track h/ about",https://ojibwe.lib.umn.edu/main-entry/babaama-azh-vta
aazhawiwebinan,aazhawiwebin,VTI,VTI_am,"fly it across",https://ojibwe.lib.umn.edu/main-entry/aazhawiwebinan-vti
aazikaw,aazikaw,VTA,VTA_aw,"get there before h/, beat h/ there",https://ojibwe.lib.umn.edu/main-entry/aazikaw-vta
babaama'amaazo,babaama'amaazo,VAI,VAI_V,"s/he goes about singing",https://ojibwe.lib.umn.edu/main-entry/babaama-amaazo-vai
babaamaanakwad,babaamaanakwad,VII,VII_d,"clouds go about",https://ojibwe.lib.umn.edu/main-entry/babaamaanakwad-vii
waasezi,waasezi,VAI,VAI_V,"the sun shines, is bright, is light, is radiant",https://ojibwe.lib.umn.edu/main-entry/waasezi-vai
waasenaagwad,waasenaagwad,VII,VII_d,"it is daybreak",https://ojibwe.lib.umn.edu/main-entry/waasenaagwad-vii-66e79640-1e0f-464b-a554-3c9634787f5a
bimidaakonan,bimidaakon,VTI,VTI_am,"put, hold it crosswise",https://ojibwe.lib.umn.edu/main-entry/bimidaakonan-vti
bimibizotoon,bimibizot,VTI,VTI_oo,"drive it along",https://ojibwe.lib.umn.edu/main-entry/bimibizotoon-vti2
aazhigijiiginige,aazhigijiiginige,VAI,VAI_VV,"s/he plays poker",https://ojibwe.lib.umn.edu/main-entry/aazhigijiiginige-vai
aazhawishin,aazhawishin,VAI,VAI_n,"s/he lies across",https://ojibwe.lib.umn.edu/main-entry/aazhawishin-vai
babaamanokii,babaamanokii,VAI,VAI_VV,"s/he works around",https://ojibwe.lib.umn.edu/main-entry/babaamanokii-vai
bimidaakoshin,bimidaakoshin,VAI,VAI_n,"s/he lies crosswise (as something stick-like)",https://ojibwe.lib.umn.edu/main-entry/bimidaakoshin-vai
babaamaagimebatoo,babaamaagimebatoo,VAI,VAI_VV,"s/he runs about in snowshoes",https://ojibwe.lib.umn.edu/main-entry/babaamaagimebatoo-vai
bimidaabaazh,bimidaabaan1,VTA,VTA_n,"drag, pull h/ along",https://ojibwe.lib.umn.edu/main-entry/bimidaabaazh-vta
babaamaadagaakobatoo,babaamaadagaakobatoo,VAI,VAI_VV,"s/he runs about on the ice, around on the ice",https://ojibwe.lib.umn.edu/main-entry/babaamaadagaakobatoo-vai
babaamaajimo,babaamaajimo,VAI,VAI_V,"s/he spreads the news about",https://ojibwe.lib.umn.edu/main-entry/babaamaajimo-vai
aazhawinizha',aazhawinizha'w1,VTA,VTA_Cw,"send h/across",https://ojibwe.lib.umn.edu/main-entry/aazhawinizha-vta
bimaandawaazh,bimaandawaan1,VTA,VTA_n,"climb along on h/",https://ojibwe.lib.umn.edu/main-entry/bimaandawaazh-vta
babaamadaawe,babaamadaawe,VAI,VAI_VV,"s/he goes about trading",https://ojibwe.lib.umn.edu/main-entry/babaamadaawe-vai
aazhigijisidoon,aazhigijisid,VTI,VTI_oo,"lay it over backwards; lay it face up",https://ojibwe.lib.umn.edu/main-entry/aazhigijisidoon-vti2
waaseyiigizi,waaseyiigizi,VAI,VAI_V,"it (animate; sheet-like) is bright, is shiny",https://ojibwe.lib.umn.edu/main-entry/waaseyiigizi-vai
aazhigidinan,aazhigidin,VTI,VTI_am,"turn it face up",https://ojibwe.lib.umn.edu/main-entry/aazhigidinan-vti
babaamaandawaadan,babaamaandawaad,VTI,VTI_am,"climb about on it",https://ojibwe.lib.umn.edu/main-entry/babaamaandawaadan-vti
aazhawigwaashkwanodan,aazhawigwaashkwanod,VTI,VTI_am,"",https://ojibwe.lib.umn.edu/main-entry/aazhawigwaashkwanodan-vti
babaamaadagaazii,babaamaadagaazii,VAI,VAI_VV,"s/he wades about",https://ojibwe.lib.umn.edu/main-entry/babaamaadagaazii-vai
bimaagimose,bimaagimose,VAI,VAI_VV,"s/he snowshoes along or by, goes snowshoeing",https://ojibwe.lib.umn.edu/main-entry/bimaagimose-vai
bimidaasin,bimidaasin,VII,VII_n,"it is blown sideways (by the wind); sails, soars sideways",https://ojibwe.lib.umn.edu/main-entry/bimidaasin-vii
babazigwiiwag,babazigwii,VAIPL,VAIPL_VV,"they each stand up",https://ojibwe.lib.umn.edu/main-entry/babazigwii-vai
aazhooba'idiwag,aazhooba'idi,VAI,VAI_rcp,"they run across together",https://ojibwe.lib.umn.edu/main-entry/aazhooba-idiwag-vai
bimidaabaazo,bimidaabaazo,VAI,VAI_V,"s/he or it (animate) is pulled, pushed, or dragged along (on something)",https://ojibwe.lib.umn.edu/main-entry/bimidaabaazo-vai
waawaabandan,waawaaband,VTI,VTI_am,"examine, inspect it",https://ojibwe.lib.umn.edu/main-entry/waawaabandan-vti
waaside,waaside,VII,VII_VV,"it shines, glitters, reflects light",https://ojibwe.lib.umn.edu/main-entry/waaside-vii
bimibizo',bimibizo',VTA,VTA_C,"drive h/ along, take h/ for a ride",https://ojibwe.lib.umn.edu/main-entry/bimibizo-vta
babaama'adoo,babaama'adoo,VAI,VAI_VV,"s/he walks about on a road or trail",https://ojibwe.lib.umn.edu/main-entry/babaama-adoo-vai
aazhogebizo,aazhogebizo,VAI,VAI_V,"s/he drives across a bridge",https://ojibwe.lib.umn.edu/main-entry/aazhogebizo-vai
waawaabam,waawaabam,VTA,VTA_C,"stare at, examine, inspect h/",https://ojibwe.lib.umn.edu/main-entry/waawaabam-vta
waanikaazh,waanikaan1,VTA,VTA_n,"dig a hole for h/",https://ojibwe.lib.umn.edu/main-entry/waanikaazh-vta
babaa-ayaa,babaa-ayaa,VAI,VAI_VV,"s/he goes around, wanders about",https://ojibwe.lib.umn.edu/main-entry/babaa-ayaa-vai
bimaasin,bimaasin,VII,VII_n,"it is blown along (by the wind); sails, soars along",https://ojibwe.lib.umn.edu/main-entry/bimaasin-vii
babaamaagonagii,babaamaagonagii,VAI,VAI_VV,"s/he goes about in the snow",https://ojibwe.lib.umn.edu/main-entry/babaamaagonagii-vai
