Paradigm,Class,OPDClass,StemPattern,LemmaPattern,Tag1,Tag1Pattern,Tag2,Tag2Pattern
NI,NI_Kana,ni,NONE,^.*kana$,pl,NONE,loc,NONE
NI,NI_ShortCy,ni,NONE,^.*(gichigami|azhashki|aki|mini|abwi|bingwi|nibi|minisi|anwi|waabashkiki|miskwi|babigwanwi)$,pl,NONE,loc,NONE
NI,NI_ShortC,ni,NONE,^.*(mishi|misan)$,pl,NONE,loc,NONE
NA,NA_ShortCw,na,NONE,^.*(makwa|ikwa)$,pl,NONE,loc,NONE
NA,NA_ShortC,na,NONE,^.*nika$,pl,NONE,loc,NONE
NA,NA_Cy,na,^.*[bcdfghjklmnpstwyz']y$,NONE,pl,NONE,pl,^.*iig
NA,NA_VVny,na,^.*nh?y$,NONE,pl,NONE,loc,NONE
NA,NA_VVw,na,^.*(aa|ii|oo|e)w$,NONE,pl,^.*wag$,loc,NONE
NA,NA_VV,na,^.*(aa|ii|oo|e)w?$,NONE,pl,NONE,loc,NONE
NA,NA_VVy,na,^.*(aa|ii|oo|e)y$,NONE,pl,NONE,loc,NONE
NA,NA_Vw,na,^.*[^ioua][ioua]w$,^.*[^ioua][ioua]$,pl,NONE,loc,NONE
NA,NA_irrCw,na,^.*[bcdfghjklmnpstwyz']w$,NONE,pl,^.*wag$,loc,NONE
NA,NA_Cw,na,^.*[bcdfghjklmnpstwyz']w$,NONE,pl,NONE,loc,NONE
NA,NA_C,na,^.*[bcdfghjklmnpstwyz']$,NONE,pl,NONE,loc,NONE
NI,NI_aa,ni,^.*[bcdfghjklmnpstwyz']$,NONE,pl,NONE,loc,^.*aang$
NI,NI_Cy,ni,^.*[bcdfghjklmnpstwyz']y$,NONE,pl,NONE,pl,^.*iin
NI,NI_VVny,ni,^.*nh?y$,NONE,pl,NONE,loc,NONE
NI,NI_VV,ni,^.*(aa|ii|oo|e)w?$,NONE,pl,NONE,loc,NONE
NI,NI_Vw,ni,^.*[^ioua][ioua]w$,^.*[^ioua][ioua]$,pl,NONE,loc,NONE
NI,NI_Cw,ni,^.*[bcdfghjklmnpstwyz']w$,NONE,pl,NONE,loc,NONE
NI,NI_C,ni,^.*[bcdfghjklmnpstwyz']$,NONE,pl,NONE,loc,NONE
NAD,NAD_C,nad,^.*wiiw$,NONE,pl,NONE,loc,NONE
NAD,NAD_VVny,nad,^.*nh?y$,NONE,pl,NONE,loc,NONE
NAD,NAD_VV,nad,^.*(aa|ii|oo|e)w?$,NONE,pl,NONE,loc,NONE
NAD,NAD_VVy,nad,^.*(aa|ii|oo|e)y$,NONE,pl,NONE,loc,NONE
NAD,NAD_Vw,nad,^.*[^ioua][ioua]w$,NONE,pl,NONE,loc,NONE
NAD,NAD_Cw,nad,^.*[bcdfghjklmnpstwyz']w$,NONE,pl,NONE,loc,NONE
NAD,NAD_Cy,nad,^.*[bcdfghjklmnpstwyz']y$,NONE,pl,NONE,loc,NONE
NAD,NAD_C,nad,^.*[bcdfghjklmnpstwyz']$,NONE,pl,NONE,loc,NONE
NID,NID_aa,nid,^.*[bcdfghjklmnpstwyz']$,NONE,pl,NONE,loc,^.*aang$
NID,NID_Cw,nid,^.*[bcdfghjklmnpstwyz']w$,NONE,pl,NONE,loc,NONE
NID,NID_Cy,nid,^.*[bcdfghjklmnpstwyz']y$,NONE,pl,NONE,loc,NONE
NID,NID_C,nid,^.*[bcdfghjklmnpstwyz']$,NONE,pl,NONE,loc,NONE
