Paradigm,Class,OPDClass,StemPattern,LemmaPattern
VAI,VAI_rcp,vai,NONE,^.*diwag$
VAI,VAI_rfx,vai,^.*dizo$,NONE
VAIPL,VAIPL_VV,vai,^.*(aa|ii|oo|e)$,^.*wag$
VAIPL,VAIPL_V,vai,^.*[^iou][iou]$,^.*wag$
VAIPL,VAIPL_n,vai,^.*n$,^.*oog$
VAIPL,VAIPL_am,vai2,NONE,^.*amoog$
VAI,VAI_V,vai,NONE,^.*[^aiou][aiou]$
VAI,VAI_VV,vai,NONE,^.*(aa|ii|oo|e)$
VAI,VAI_am,vai2,NONE,^.*am$
VAI,VAI_m,vai,NONE,^.*m$
VAI,VAI_n,vai,NONE,^.*n$
VAIO,VAIO,vai + o,NONE,^.*$
VIIPL,VIIPL_VV,vii,^.*(aa|ii|oo|e)$,^.*wan$
VIIPL,VIIPL_d,vii,^.*d$,^.*oon$
VII,VII_VV,vii,^.*(aa|ii|oo|e)$,NONE
VII,VII_V,vii,^.*[^iou][iou]$,NONE
VII,VII_d,vii,NONE,^.*d$
VII,VII_n,vii,NONE,^.*n$
VTA,VTA_C,vta,^.*[bcdfghjklmnpstz']$,NONE
VTA,VTA_C,vta,^.*[^bcdfghjklmnpstzwa']w$,NONE
VTA,VTA_Cw,vta,^.*[bcdfghjklmnpstwz']w$,NONE
VTA,VTA_aw,vta,^.*aw$,NONE
VTA,VTA_n,vta,^.*n1$,NONE
VTA,VTA_s,vta,^.*s1$,NONE
VTI,VTI_am,vti,NONE,^.*an$
VTI,VTI_i,vti3,^.*i$,NONE
VTI,VTI_oo,vti2,NONE,^.*oon$
VTI,VTI_aa,vti4,NONE,^.*aan$
